age,tenure_months,monthly_charges,total_usage_hours,support_calls,payment_delays,contract_type,internet_service,payment_method,churn
63,6,62.52,157.5,6,2,Two-Year,Premium,UPI,0
18,67,135.71,276.53,11,3,Monthly,Premium,Credit Card,0
68,7,30.96,243.81,2,1,Yearly,Basic,Credit Card,0
62,52,124.93,247.74,6,2,Yearly,Premium,Credit Card,1
30,14,131.97,238.72,6,4,Two-Year,Basic,Debit Card,1
21,15,126.24,97.8,8,2,Monthly,Premium,Debit Card,1
18,21,86.65,229.79,1,0,Monthly,Standard,UPI,1
66,35,76.99,43.81,5,0,Monthly,Premium,UPI,0
57,66,149.51,197.66,8,1,Two-Year,Standard,Credit Card,1
49,2,49.79,192.83,11,4,Monthly,Standard,UPI,1
51,35,91.09,8.65,11,4,Monthly,Basic,Debit Card,1
45,20,107.19,236.6,1,2,Monthly,Standard,UPI,0
48,10,111.11,271.07,1,1,Monthly,Premium,Debit Card,0
25,25,46.52,80.96,4,4,Yearly,Premium,UPI,1
56,66,105.02,243.9,9,5,Monthly,Standard,Bank Transfer,1
43,25,126.39,25.64,9,5,Monthly,Basic,Debit Card,1
51,54,26.5,180.39,11,0,Two-Year,Standard,Bank Transfer,1
20,33,138.5,146.21,9,2,Monthly,Premium,Debit Card,1
67,36,23.84,164.23,7,3,Yearly,Premium,UPI,0
29,14,66.28,277.94,10,0,Monthly,Standard,Bank Transfer,0
18,65,22.06,261.52,8,1,Monthly,Standard,UPI,0
61,54,30.03,235.74,1,4,Yearly,Standard,Debit Card,0
22,52,138.45,82.84,4,0,Yearly,Premium,Bank Transfer,0
47,3,66.13,273.63,6,3,Monthly,Premium,Credit Card,0
47,41,75.22,30.15,5,3,Two-Year,Premium,UPI,0
34,6,47.99,256.15,5,5,Two-Year,Basic,Debit Card,1
65,25,,99.12,6,1,Two-Year,Premium,Bank Transfer,1
64,13,97.32,17.08,2,0,Monthly,Premium,UPI,1
40,8,68.39,201.14,2,2,Monthly,Basic,Bank Transfer,0
32,21,63.29,70.15,9,0,Yearly,Basic,UPI,0
54,68,135.05,73.83,8,5,Yearly,Basic,UPI,1
38,25,69.83,92.51,7,3,Monthly,Basic,UPI,1
31,68,84.16,20.04,4,1,Yearly,Basic,Bank Transfer,0
19,45,,53.96,5,1,Monthly,Basic,Bank Transfer,0
28,60,122.28,2.54,10,2,Monthly,Standard,UPI,0
68,12,71.67,134.18,11,1,Monthly,Standard,Credit Card,0
56,32,86.77,26.19,9,5,Yearly,Standard,Credit Card,1
55,13,52.94,205.11,0,5,Monthly,Standard,Credit Card,0
51,31,148.4,71.45,9,5,Yearly,Premium,Debit Card,1
55,20,57.89,283.13,11,1,Yearly,Basic,Credit Card,0
67,18,120.2,261.5,0,1,Yearly,Premium,Bank Transfer,1
51,60,75.57,87.54,3,5,Two-Year,Basic,Credit Card,0
35,63,46.81,235.18,1,1,Yearly,Basic,Bank Transfer,0
47,6,123.96,241.17,10,1,Two-Year,Premium,Debit Card,1
32,32,63.37,295.98,6,3,Monthly,Standard,Bank Transfer,0
44,43,132.48,179.75,1,0,Monthly,Premium,Bank Transfer,1
68,2,138.98,25.51,9,4,Monthly,Premium,Bank Transfer,1
51,60,131.78,194.4,1,1,Monthly,Basic,Credit Card,1
69,23,24.55,187.87,4,4,Yearly,Basic,UPI,0
55,31,122.36,191.87,3,4,Monthly,Basic,Bank Transfer,1
50,5,73.47,92.84,7,3,Monthly,Standard,Credit Card,0
41,34,133.58,258.04,3,1,Yearly,Premium,Credit Card,0
32,10,102.93,287.88,11,5,Yearly,Premium,Credit Card,1
47,2,128.37,66.1,5,4,Monthly,Standard,UPI,1
59,11,84.93,27.36,4,1,Yearly,Premium,UPI,1
68,50,89.55,59.17,10,2,Monthly,Premium,,0
34,31,38.77,246.35,1,5,Monthly,Basic,,1
22,56,121.92,203.32,10,2,Yearly,Standard,Debit Card,1
46,9,74.52,191.18,11,2,Yearly,Basic,UPI,0
21,21,85.01,121.14,7,4,Monthly,Standard,UPI,1
27,28,122.06,173.77,1,2,Two-Year,Basic,,0
34,62,97.85,93.05,8,3,Monthly,Premium,Bank Transfer,0
27,7,46.14,143.68,8,3,Monthly,Standard,Bank Transfer,1
34,16,96.73,238.13,2,4,Monthly,Standard,UPI,1
37,4,72.99,,3,1,Yearly,Basic,Debit Card,0
41,4,81.04,279.81,7,0,Yearly,Standard,Bank Transfer,0
22,40,23.68,280.23,8,1,Monthly,Premium,Credit Card,1
51,17,47.3,121.26,2,1,Monthly,Premium,Bank Transfer,0
23,52,56.53,141.17,4,1,Yearly,Premium,Credit Card,0
19,52,112.68,211.98,10,1,Monthly,Basic,Bank Transfer,1
30,36,21.49,276.74,7,5,Monthly,Standard,UPI,0
60,38,73.14,43.46,2,0,Yearly,Basic,Bank Transfer,1
60,50,140.12,91.97,6,5,Monthly,Premium,UPI,0
65,63,34.54,42.63,10,2,Two-Year,Standard,UPI,0
28,63,87.14,183.99,7,1,Monthly,Premium,Bank Transfer,1
68,62,122.25,92.58,9,3,Yearly,Standard,Credit Card,1
64,7,142.53,98.51,10,4,Monthly,Standard,Credit Card,1
40,27,117.08,22.2,2,4,Two-Year,Basic,Bank Transfer,1
33,14,113.67,105.59,1,5,Monthly,Standard,UPI,1
48,71,127.44,258.89,9,5,Yearly,Premium,Credit Card,1
28,5,78.01,70.69,6,3,Yearly,Standard,Debit Card,0
33,55,124.76,208.86,11,1,Monthly,Premium,UPI,1
25,2,21.04,189.26,8,0,Monthly,Basic,Bank Transfer,0
21,62,140.19,259.18,0,2,Yearly,Premium,UPI,0
57,21,77.63,40.55,2,4,Two-Year,Standard,Debit Card,0
21,21,91.94,293.3,4,2,Monthly,Premium,Debit Card,0
42,10,53.13,175.21,2,0,Monthly,Premium,,1
20,58,116.53,298.65,0,5,Yearly,Standard,Debit Card,1
49,39,29.96,273.54,6,4,Monthly,Premium,UPI,0
20,5,133.44,67.23,6,2,Two-Year,Standard,Credit Card,1
44,65,127.66,17.79,9,5,Yearly,Basic,Debit Card,0
46,13,48.09,77.44,11,0,Yearly,Premium,Credit Card,0
49,53,125.21,158.74,7,2,Monthly,Basic,Credit Card,0
67,45,122.23,52.31,4,1,Monthly,Premium,Bank Transfer,0
68,32,,51.07,9,5,Yearly,Premium,Credit Card,0
36,36,68.56,139.32,11,0,Two-Year,Basic,Credit Card,1
38,60,55.29,10.95,4,2,Two-Year,Premium,Debit Card,1
22,11,50.13,37.44,4,1,Monthly,Premium,UPI,0
35,63,61.42,125.34,0,1,Monthly,Basic,UPI,0
45,21,137.46,19.88,9,0,Monthly,Premium,Debit Card,1
59,52,30.09,119.63,4,3,Two-Year,Standard,UPI,1
39,55,127.75,142.73,5,4,Monthly,Premium,Credit Card,0
38,26,65.36,135.93,11,0,Monthly,Premium,Bank Transfer,1
23,68,87.81,260.88,0,1,Monthly,Premium,Credit Card,0
18,34,123.28,159.49,10,1,Monthly,Basic,Credit Card,1
22,52,134.97,140.93,6,0,Two-Year,Standard,Bank Transfer,1
58,52,64.82,123.8,0,3,Monthly,Standard,Debit Card,1
29,29,80.04,245.47,10,4,Monthly,Premium,Credit Card,1
43,38,73.89,268.62,1,2,Monthly,Basic,Credit Card,0
63,42,21.72,256.12,1,0,Monthly,Basic,Debit Card,1
51,21,58.47,202.39,4,4,Monthly,Standard,Credit Card,1
66,42,79.69,42.07,9,4,Monthly,Basic,Credit Card,1
31,13,73.44,83.78,6,5,Yearly,Premium,UPI,1
43,64,113.85,14.77,0,1,Monthly,Premium,Debit Card,1
62,17,70.02,279.32,9,2,Monthly,Basic,Credit Card,1
44,9,83.62,198.58,0,0,Monthly,Premium,Credit Card,0
26,41,75.85,224.16,0,1,Yearly,Standard,Bank Transfer,0
43,1,116.28,94.16,5,5,Yearly,Premium,Bank Transfer,1
64,2,132.19,253.85,1,5,Yearly,Basic,Bank Transfer,1
39,60,89.15,78.62,0,1,Yearly,Standard,Credit Card,0
64,48,122.63,1.49,5,3,Yearly,Premium,Credit Card,1
47,29,58.58,113.55,1,4,Monthly,Standard,Bank Transfer,0
60,10,90.38,171.66,5,0,Two-Year,Basic,UPI,0
65,58,64.88,144.13,9,0,Monthly,Premium,UPI,1
34,60,73.85,258.76,7,0,Monthly,Premium,UPI,0
43,21,115.21,32.52,1,1,Yearly,Standard,UPI,1
53,28,134.62,166.59,10,3,Monthly,Premium,Debit Card,1
18,34,35.79,154.38,8,2,Two-Year,Premium,,1
25,8,102.5,85.14,7,5,Monthly,Premium,Credit Card,1
66,59,95.68,246.85,11,1,Two-Year,Premium,Bank Transfer,0
52,72,35.39,226.1,9,2,Yearly,Basic,UPI,0
69,49,47.55,220.12,0,5,Two-Year,Premium,Credit Card,1
32,17,60.43,262.98,6,5,Two-Year,Standard,Debit Card,0
64,60,41.7,217.11,9,3,Two-Year,Basic,Bank Transfer,0
39,45,51.68,70.32,5,4,Yearly,Standard,Credit Card,0
31,69,54.79,211.96,5,0,Monthly,Standard,Credit Card,0
43,32,63.64,93.0,5,2,Monthly,Standard,UPI,1
45,44,117.42,,5,1,Yearly,Basic,UPI,0
40,65,94.35,22.83,9,2,Two-Year,Basic,Bank Transfer,0
31,8,148.21,223.46,6,4,Yearly,Basic,Debit Card,0
41,72,73.92,213.59,11,0,Two-Year,Premium,Credit Card,0
19,43,118.0,71.12,2,2,Yearly,Standard,UPI,1
62,1,133.29,,5,4,Monthly,Basic,Bank Transfer,1
43,51,108.27,275.43,2,1,Monthly,Standard,UPI,1
31,24,73.54,33.3,6,3,Monthly,Basic,Bank Transfer,1
68,24,117.97,70.56,6,5,Monthly,Basic,UPI,1
24,17,46.48,225.33,7,1,Yearly,Basic,Debit Card,0
20,5,62.58,83.08,1,0,Two-Year,Standard,Credit Card,0
64,20,91.07,187.77,8,5,Yearly,Premium,UPI,1
40,21,94.8,25.27,4,1,Monthly,Basic,Credit Card,1
63,58,22.88,136.21,8,1,Monthly,Basic,Bank Transfer,0
60,31,142.86,221.99,9,1,Monthly,Basic,Debit Card,1
64,11,110.56,206.27,4,1,Monthly,Premium,Credit Card,0
62,52,84.44,244.71,6,5,Monthly,Standard,UPI,0
35,15,141.31,263.36,10,0,Monthly,Standard,Credit Card,1
55,7,77.08,232.18,8,4,Monthly,Standard,Credit Card,1
52,28,147.46,201.8,3,2,Monthly,Standard,Bank Transfer,0
68,51,,10.49,1,3,Two-Year,Basic,Debit Card,0
32,58,34.86,160.96,8,2,Monthly,Premium,Debit Card,0
42,5,119.42,12.27,1,2,Monthly,Basic,Credit Card,1
54,5,108.26,242.61,2,3,Monthly,Premium,Credit Card,0
45,8,120.49,96.9,9,5,Monthly,Standard,Bank Transfer,1
27,64,143.69,169.17,1,0,Yearly,Premium,Credit Card,0
56,10,120.94,84.55,2,3,Yearly,Basic,Bank Transfer,0
34,38,99.47,234.97,5,0,Monthly,Basic,Debit Card,1
56,8,131.45,266.06,2,5,Yearly,Standard,Debit Card,0
39,25,107.52,120.19,9,2,Monthly,Basic,Bank Transfer,0
43,66,73.06,259.01,7,0,Yearly,Basic,Credit Card,0
61,50,135.13,80.86,10,5,Monthly,Premium,Debit Card,1
42,67,48.85,160.86,5,5,Monthly,Basic,UPI,1
34,49,112.9,257.77,6,4,Yearly,Standard,Bank Transfer,0
30,36,134.6,98.44,0,3,Yearly,Standard,Debit Card,1
37,68,115.07,286.26,2,4,Yearly,Basic,Debit Card,1
42,41,110.65,37.44,2,2,Monthly,Standard,Debit Card,0
21,62,,6.46,1,3,Monthly,Premium,UPI,1
27,10,80.46,271.34,6,2,Two-Year,Premium,UPI,0
20,21,133.64,21.53,8,4,Monthly,Basic,UPI,1
58,36,46.45,297.57,3,5,Monthly,Basic,Credit Card,1
62,12,36.56,285.47,11,2,Monthly,Premium,Bank Transfer,0
35,2,57.12,41.97,4,3,Monthly,Standard,Credit Card,0
64,13,89.11,161.74,2,3,Monthly,Basic,UPI,1
53,53,86.37,56.29,10,2,Monthly,Basic,Bank Transfer,1
64,32,126.68,129.02,8,3,Monthly,Standard,Credit Card,0
39,16,72.59,,3,5,Two-Year,Basic,Credit Card,1
51,32,82.96,67.95,4,5,Monthly,Standard,Credit Card,1
64,32,21.74,109.62,0,3,Monthly,Standard,UPI,1
25,11,73.27,132.16,10,2,Yearly,Standard,Debit Card,0
57,10,104.21,293.27,11,4,Yearly,Standard,Bank Transfer,1
66,15,22.02,242.55,1,3,Monthly,Standard,UPI,1
61,17,56.51,221.49,11,3,Yearly,Premium,Bank Transfer,1
36,40,47.03,161.58,8,3,Monthly,Standard,UPI,1
59,18,25.46,252.16,1,3,Yearly,Premium,Credit Card,1
58,55,82.3,102.46,4,2,Monthly,Standard,Credit Card,0
54,25,43.62,212.96,7,4,Monthly,Basic,Debit Card,1
23,59,116.6,298.14,2,4,Two-Year,Premium,Debit Card,0
69,22,130.23,95.07,5,0,Yearly,Basic,,0
43,30,90.93,202.53,3,3,Monthly,Standard,Debit Card,1
51,44,147.62,253.45,10,3,Monthly,Standard,Debit Card,1
62,32,78.56,274.83,6,0,Monthly,Basic,Bank Transfer,1
23,51,86.74,215.66,9,4,Yearly,Standard,UPI,0
54,46,148.6,85.8,2,1,Monthly,Basic,Debit Card,0
50,21,50.1,98.56,5,5,Monthly,Standard,,1
39,32,142.53,7.21,11,1,Monthly,Standard,Credit Card,0
38,39,25.57,228.5,9,4,Yearly,Premium,Debit Card,1
23,12,78.03,13.78,8,3,Yearly,Basic,Credit Card,1
23,47,29.1,259.53,10,1,Yearly,Standard,Credit Card,0
65,18,114.8,36.48,9,2,Monthly,Basic,UPI,1
21,21,99.09,52.39,0,2,Two-Year,Premium,Bank Transfer,1
47,13,111.86,143.48,2,0,Yearly,Basic,Debit Card,0
28,21,68.68,221.63,1,4,Two-Year,Premium,UPI,0
47,8,68.03,42.56,7,4,Monthly,Basic,Bank Transfer,1
48,46,25.89,132.58,6,1,Monthly,Basic,Credit Card,0
41,7,65.49,145.37,1,3,Yearly,Premium,Debit Card,1
26,23,140.81,64.47,5,4,Monthly,Standard,Credit Card,1
20,22,69.3,35.55,2,1,Monthly,Standard,Credit Card,0
68,22,128.08,251.09,7,1,Yearly,Standard,Debit Card,1
48,29,129.5,151.24,9,5,Yearly,Basic,Bank Transfer,0
57,13,68.52,5.3,2,5,Two-Year,Basic,Bank Transfer,1
54,2,102.16,241.09,9,4,Yearly,Standard,Debit Card,1
53,29,32.4,294.26,8,1,Monthly,Basic,Debit Card,1
41,52,33.48,182.17,0,0,Monthly,Basic,UPI,0
48,27,26.33,151.61,4,0,Monthly,Standard,UPI,0
23,50,95.53,263.65,2,5,Monthly,Premium,Credit Card,0
19,23,75.39,,5,4,Monthly,Basic,Debit Card,1
37,44,91.24,226.61,9,3,Monthly,Basic,Bank Transfer,0
45,22,87.74,134.19,1,0,Yearly,Basic,Credit Card,0
28,43,65.53,178.07,8,0,Yearly,Basic,Credit Card,0
21,37,108.07,210.58,5,5,Two-Year,Premium,Credit Card,0
32,61,118.61,59.09,6,5,Yearly,Standard,Credit Card,0
23,56,21.9,134.71,4,4,Yearly,Basic,Bank Transfer,1
66,3,46.94,249.12,8,5,Yearly,Standard,Credit Card,1
47,63,112.72,196.76,0,2,Two-Year,Basic,Debit Card,0
55,19,70.26,123.95,4,1,Yearly,Premium,UPI,0
68,23,106.12,199.35,10,0,Two-Year,Standard,Bank Transfer,1
19,29,65.11,36.35,9,2,Two-Year,Premium,Debit Card,1
32,30,70.8,121.05,10,3,Two-Year,Basic,Debit Card,1
28,39,40.63,238.15,5,2,Monthly,Premium,Debit Card,1
25,25,53.57,66.93,6,4,Monthly,Premium,UPI,1
43,8,98.7,56.6,11,3,Monthly,Basic,UPI,0
68,58,76.31,285.29,3,3,Monthly,Basic,UPI,0
62,16,120.66,63.76,11,5,Monthly,Standard,Debit Card,0
61,72,130.84,79.01,0,2,Monthly,Basic,UPI,0
22,1,90.41,290.92,10,4,Monthly,Standard,Credit Card,1
23,5,118.57,,7,0,Monthly,Premium,UPI,0
43,3,59.9,,9,5,Yearly,Premium,Bank Transfer,1
21,65,73.95,256.02,3,2,Monthly,Standard,Debit Card,0
36,4,112.66,35.63,2,0,Yearly,Basic,Debit Card,0
37,64,70.21,212.08,11,2,Yearly,Basic,Credit Card,1
50,10,96.51,151.6,6,5,Yearly,Premium,UPI,1
37,21,44.1,248.92,11,0,Two-Year,Standard,UPI,0
66,46,97.97,152.93,1,5,Monthly,Premium,Bank Transfer,1
29,27,,186.45,7,2,Monthly,Premium,Credit Card,1
64,66,132.92,143.84,5,3,Monthly,Basic,Bank Transfer,0
18,41,114.16,143.97,6,1,Monthly,Standard,Bank Transfer,0
43,13,116.95,230.62,4,3,Yearly,Premium,Debit Card,1
31,9,92.53,188.94,8,5,Monthly,Basic,Debit Card,1
55,36,96.01,190.35,4,5,Monthly,Premium,UPI,0
54,58,37.37,135.63,10,5,Monthly,Premium,UPI,1
28,54,77.7,159.8,4,0,Monthly,Basic,Bank Transfer,0
53,12,78.6,223.97,2,4,Yearly,Basic,UPI,1
30,14,144.6,247.96,10,5,Yearly,Standard,Bank Transfer,0
60,34,76.04,209.27,0,3,Monthly,Premium,UPI,0
20,53,91.41,277.3,1,1,Monthly,Standard,UPI,0
50,20,,246.28,7,5,Monthly,Basic,Debit Card,0
23,16,102.78,169.0,0,5,Monthly,Basic,Debit Card,1
67,70,117.27,201.75,6,5,Two-Year,Premium,Debit Card,1
27,56,49.26,277.97,4,0,Monthly,Standard,Debit Card,0
22,58,88.73,186.13,2,5,Yearly,Standard,Credit Card,0
40,4,127.37,247.62,11,3,Two-Year,Premium,Debit Card,1
27,4,80.2,,11,2,Monthly,Premium,Credit Card,0
61,20,56.2,166.03,10,4,Monthly,Standard,Debit Card,1
19,10,105.11,73.31,6,5,Two-Year,Basic,UPI,1
30,24,127.09,128.37,8,0,Yearly,Basic,Bank Transfer,0
57,26,28.21,290.36,1,3,Monthly,Premium,UPI,1
19,37,120.98,197.67,7,5,Yearly,Standard,,1
37,54,126.81,169.75,8,0,Yearly,Standard,Credit Card,1
18,21,80.0,279.95,10,2,Monthly,Standard,Debit Card,1
54,38,147.83,176.37,2,1,Two-Year,Basic,Bank Transfer,0
26,46,122.27,158.3,1,5,Monthly,Basic,Bank Transfer,1
34,4,120.58,228.03,6,3,Monthly,Standard,Debit Card,1
26,60,117.22,214.09,4,0,Two-Year,Standard,Credit Card,0
28,57,39.58,58.75,4,0,Yearly,Premium,Credit Card,0
32,45,48.24,141.92,9,5,Monthly,Premium,Credit Card,1
41,20,80.32,142.28,4,0,Monthly,Standard,Bank Transfer,0
55,17,54.32,114.09,3,1,Yearly,Standard,Credit Card,0
52,71,73.98,155.67,4,0,Yearly,Basic,Credit Card,1
47,4,135.5,124.52,3,4,Yearly,Standard,,1
48,14,127.16,60.6,5,4,Two-Year,Premium,Bank Transfer,0
66,3,101.91,124.3,3,0,Two-Year,Basic,UPI,0
22,58,131.56,22.61,1,5,Monthly,Premium,Bank Transfer,1
61,55,121.89,173.16,8,4,Monthly,Premium,Debit Card,0
67,4,75.77,256.24,1,3,Monthly,Basic,Bank Transfer,1
31,24,46.14,217.86,8,4,Yearly,Premium,Bank Transfer,1
28,34,86.85,108.76,9,0,Yearly,Standard,Credit Card,0
26,30,115.71,27.03,5,5,Monthly,Premium,UPI,0
51,19,76.73,61.44,8,2,Monthly,Basic,Credit Card,1
29,31,106.68,164.1,8,5,Monthly,Basic,UPI,1
52,60,32.26,62.91,2,5,Monthly,Basic,Credit Card,1
52,60,117.24,163.65,0,5,Monthly,Premium,Debit Card,0
18,19,125.65,70.25,0,3,Monthly,Standard,Credit Card,1
57,49,111.89,254.83,2,1,Monthly,Basic,Credit Card,1
39,63,145.74,119.78,4,0,Monthly,Standard,Debit Card,0
46,22,127.46,74.42,2,1,Yearly,Basic,Debit Card,1
25,24,137.4,243.89,11,2,Monthly,Standard,Bank Transfer,1
28,30,141.36,103.51,8,1,Yearly,Standard,Credit Card,1
58,58,124.18,34.33,8,0,Yearly,Standard,Debit Card,1
54,31,107.65,171.55,2,0,Yearly,Basic,Debit Card,0
31,64,20.74,174.89,2,2,Yearly,Premium,Bank Transfer,0
47,19,80.56,214.69,11,0,Monthly,Premium,UPI,0
52,48,94.25,72.83,4,2,Monthly,Premium,Debit Card,0
38,45,59.52,133.69,1,2,Two-Year,Standard,Debit Card,0
54,55,61.35,85.43,5,0,Yearly,Basic,Credit Card,0
22,55,144.95,25.21,6,4,Two-Year,Standard,Bank Transfer,1
36,18,135.92,263.11,8,2,Yearly,Basic,Credit Card,1
31,63,130.39,218.93,5,0,Monthly,Standard,UPI,0
43,47,72.78,91.14,2,4,Monthly,Basic,Bank Transfer,1
21,57,21.78,180.21,11,2,Yearly,Basic,Credit Card,1
42,45,30.43,61.18,4,4,Monthly,Basic,,0
62,33,60.59,267.18,3,3,Monthly,Standard,Debit Card,0
59,17,22.05,35.36,4,5,Yearly,Premium,Bank Transfer,1
42,70,22.23,2.15,7,3,Monthly,Standard,Debit Card,1
35,4,,151.1,7,4,Monthly,Standard,Credit Card,1
57,20,111.8,175.36,5,2,Yearly,Basic,Bank Transfer,0
25,47,60.16,174.11,0,0,Yearly,Basic,,1
56,15,37.24,17.3,7,1,Monthly,Premium,Debit Card,1
57,70,86.51,94.9,7,0,Yearly,Premium,UPI,0
31,47,20.7,150.26,1,1,Two-Year,Basic,UPI,0
49,9,141.99,65.76,3,1,Monthly,Premium,Bank Transfer,1
68,16,73.93,261.92,11,2,Monthly,Premium,UPI,1
55,69,72.3,27.05,1,4,Monthly,Basic,Credit Card,0
50,61,70.78,146.73,3,0,Monthly,Standard,Debit Card,0
40,10,29.01,207.73,11,4,Monthly,Premium,Debit Card,1
32,50,102.98,79.26,9,3,Two-Year,Basic,Debit Card,1
50,3,115.29,187.65,6,2,Yearly,Premium,Bank Transfer,1
42,70,107.9,248.99,8,2,Yearly,Premium,Bank Transfer,1
34,51,38.0,57.91,7,3,Two-Year,Basic,UPI,0
50,19,95.25,275.25,11,0,Two-Year,Premium,Debit Card,1
64,42,94.03,166.51,8,5,Monthly,Premium,Debit Card,0
19,35,132.89,90.47,7,3,Monthly,Premium,Debit Card,0
31,46,69.29,129.83,1,0,Yearly,Standard,Debit Card,0
57,26,68.29,94.35,6,1,Monthly,Standard,Debit Card,1
57,69,100.41,217.81,1,2,Monthly,Premium,Credit Card,0
68,64,102.3,239.09,11,0,Yearly,Basic,Debit Card,1
56,37,81.01,250.05,10,4,Two-Year,Premium,,0
68,49,77.6,295.74,1,4,Monthly,Premium,Debit Card,0
23,21,84.24,237.59,3,2,Yearly,Standard,Bank Transfer,1
23,64,131.94,180.81,0,3,Monthly,Standard,Bank Transfer,1
20,5,79.95,102.43,4,5,Yearly,Standard,Credit Card,1
24,70,,163.83,5,3,Monthly,Premium,Debit Card,0
68,4,85.52,13.28,8,0,Two-Year,Premium,Bank Transfer,0
25,39,143.4,223.7,9,3,Monthly,Basic,Bank Transfer,0
59,35,128.27,134.34,7,2,Yearly,Premium,Debit Card,0
69,1,67.12,6.99,1,0,Monthly,Premium,Debit Card,1
32,24,132.27,19.69,0,1,Monthly,Standard,Bank Transfer,0
64,57,34.31,116.85,1,3,Monthly,Standard,Debit Card,0
46,70,140.26,175.44,6,3,Monthly,Standard,UPI,1
50,41,102.11,139.8,3,5,Monthly,Standard,Debit Card,1
69,54,27.07,186.14,9,0,Monthly,Standard,Bank Transfer,0
47,46,103.75,144.61,4,4,Yearly,Basic,Bank Transfer,0
56,60,146.65,198.85,11,3,Yearly,Basic,Credit Card,0
44,60,29.07,66.52,6,2,Monthly,Basic,UPI,0
53,57,92.11,34.74,2,3,Yearly,Standard,Bank Transfer,0
46,31,117.21,179.33,9,5,Monthly,Standard,UPI,1
55,24,,145.92,1,1,Monthly,Standard,Debit Card,1
50,36,73.8,9.03,6,5,Monthly,Basic,Bank Transfer,0
54,30,46.54,114.76,4,3,Yearly,Standard,Credit Card,0
44,24,25.5,32.73,0,4,Monthly,Basic,Bank Transfer,1
50,30,95.36,159.88,0,3,Two-Year,Standard,Credit Card,1
21,7,78.88,119.34,8,0,Monthly,Premium,UPI,0
39,35,143.34,184.33,4,3,Monthly,Basic,Credit Card,0
19,55,27.88,241.88,0,4,Monthly,Premium,Debit Card,0
27,14,109.1,90.6,6,0,Two-Year,Basic,Debit Card,1
22,10,23.25,288.67,8,2,Yearly,Standard,Debit Card,1
27,16,42.29,161.15,10,0,Yearly,Standard,Bank Transfer,1
50,54,78.97,185.87,0,5,Two-Year,Premium,Debit Card,1
55,70,79.13,204.52,9,1,Two-Year,Standard,Debit Card,0
30,44,109.14,200.35,3,5,Yearly,Basic,Bank Transfer,1
48,45,138.33,153.78,2,0,Monthly,Standard,UPI,0
64,56,103.07,129.2,4,2,Yearly,Standard,Debit Card,0
53,57,143.96,17.08,6,3,Monthly,Basic,Debit Card,1
62,21,134.61,7.6,7,0,Yearly,Premium,Bank Transfer,0
41,68,95.98,108.03,1,5,Yearly,Premium,UPI,0
69,50,128.39,100.76,6,0,Yearly,Standard,UPI,1
32,33,103.54,116.92,0,0,Monthly,Basic,UPI,0
46,7,30.21,42.37,6,0,Yearly,Premium,Bank Transfer,0
25,70,116.27,221.71,7,2,Two-Year,Premium,Credit Card,1
22,15,32.34,257.23,1,4,Monthly,Standard,Credit Card,1
46,32,97.23,281.68,8,4,Monthly,Basic,Debit Card,1
64,20,111.34,148.22,0,0,Yearly,Premium,Debit Card,0
21,15,,210.56,5,2,Two-Year,Standard,Debit Card,0
29,48,50.0,256.81,0,2,Monthly,Standard,Credit Card,0
62,71,,126.07,2,0,Monthly,Standard,Bank Transfer,1
19,21,100.12,93.51,10,5,Monthly,Standard,Debit Card,0
44,42,52.02,281.08,5,5,Monthly,Premium,Bank Transfer,1
48,26,109.79,155.19,2,1,Two-Year,Basic,Debit Card,1
68,14,,149.68,7,0,Yearly,Standard,Bank Transfer,0
68,57,85.2,54.35,4,1,Yearly,Standard,Bank Transfer,0
53,37,146.9,33.34,1,5,Monthly,Premium,Credit Card,0
53,58,108.85,252.79,3,5,Yearly,Standard,Bank Transfer,0
43,21,68.81,184.63,8,0,Monthly,Standard,UPI,0
60,69,124.01,98.42,3,1,Monthly,Basic,Credit Card,1
44,3,135.0,58.33,9,1,Monthly,Standard,Debit Card,1
22,37,36.28,167.09,9,0,Monthly,Premium,Credit Card,0
37,49,46.07,175.59,7,1,Monthly,Basic,UPI,1
28,19,48.11,62.89,4,3,Monthly,Premium,UPI,0
27,12,109.86,255.57,10,5,Monthly,Basic,Bank Transfer,1
57,61,98.4,26.2,10,4,Monthly,Basic,UPI,1
55,41,100.47,107.47,9,2,Yearly,Standard,UPI,0
23,33,142.3,204.43,0,1,Monthly,Standard,UPI,1
25,50,120.87,82.96,6,1,Two-Year,Standard,UPI,0
40,68,36.63,248.47,2,2,Monthly,Premium,Debit Card,1
64,71,65.18,222.22,9,1,Yearly,Standard,Debit Card,0
43,33,76.6,236.92,7,2,Two-Year,Standard,Credit Card,1
63,24,,36.61,11,0,Two-Year,Basic,Bank Transfer,1
60,61,107.01,43.02,2,3,Two-Year,Standard,Debit Card,1
29,61,135.95,86.66,0,3,Monthly,Standard,UPI,0
43,28,59.79,155.91,4,5,Monthly,Standard,Bank Transfer,0
30,58,91.74,224.66,1,4,Monthly,Standard,Debit Card,0
57,43,122.62,251.12,10,1,Monthly,Basic,Credit Card,1
35,41,74.11,211.6,3,4,Monthly,Standard,UPI,0
42,39,41.86,278.65,0,0,Two-Year,Basic,Bank Transfer,1
50,49,81.74,221.88,8,3,Yearly,Premium,Debit Card,0
64,17,27.18,92.57,5,0,Yearly,Standard,Bank Transfer,1
57,70,142.51,80.26,7,0,Two-Year,Standard,Debit Card,0
